,Iso3,StartDate,EndDate,Area Code,Area,Item Code,Item,Months Code,Months,Year Code,Year,Unit,Value,Flag,Note
0,#country+code,#date+start,#date+end,,#country+name,#indicator+code,#indicator+name,,,,#date+year,#indicator+type,#indicator+value+num,,
32,NGA,2009-02-01,2009-02-28,159.0,Nigeria,23013,"Consumer Prices, Food Indices (2015 = 100)",7002.0,February,2009.0,2009,,50.805232,X,base year is 2015
33,NGA,2010-02-01,2010-02-28,159.0,Nigeria,23013,"Consumer Prices, Food Indices (2015 = 100)",7002.0,February,2010.0,2010,,59.366646,X,base year is 2015
34,NGA,2011-02-01,2011-02-28,159.0,Nigeria,23013,"Consumer Prices, Food Indices (2015 = 100)",7002.0,February,2011.0,2011,,66.407283,X,base year is 2015
35,NGA,2012-02-01,2012-02-29,159.0,Nigeria,23013,"Consumer Prices, Food Indices (2015 = 100)",7002.0,February,2012.0,2012,,72.715693,X,base year is 2015
36,NGA,2013-02-01,2013-02-28,159.0,Nigeria,23013,"Consumer Prices, Food Indices (2015 = 100)",7002.0,February,2013.0,2013,,80.544881,X,base year is 2015
37,NGA,2014-02-01,2014-02-28,159.0,Nigeria,23013,"Consumer Prices, Food Indices (2015 = 100)",7002.0,February,2014.0,2014,,87.912202,X,base year is 2015
38,NGA,2015-02-01,2015-02-28,159.0,Nigeria,23013,"Consumer Prices, Food Indices (2015 = 100)",7002.0,February,2015.0,2015,,96.113136,X,base year is 2015
39,NGA,2016-02-01,2016-02-29,159.0,Nigeria,23013,"Consumer Prices, Food Indices (2015 = 100)",7002.0,February,2016.0,2016,,106.961348,X,base year is 2015
40,NGA,2017-02-01,2017-02-28,159.0,Nigeria,23013,"Consumer Prices, Food Indices (2015 = 100)",7002.0,February,2017.0,2017,,126.621095,X,base year is 2015
41,NGA,2018-02-01,2018-02-28,159.0,Nigeria,23013,"Consumer Prices, Food Indices (2015 = 100)",7002.0,February,2018.0,2018,,148.854259,X,base year is 2015
42,NGA,2019-02-01,2019-02-28,159.0,Nigeria,23013,"Consumer Prices, Food Indices (2015 = 100)",7002.0,February,2019.0,2019,,168.839059,X,base year is 2015
43,NGA,2020-02-01,2020-02-29,159.0,Nigeria,23013,"Consumer Prices, Food Indices (2015 = 100)",7002.0,February,2020.0,2020,,193.862434,X,base year is 2015
44,NGA,2021-02-01,2021-02-28,159.0,Nigeria,23013,"Consumer Prices, Food Indices (2015 = 100)",7002.0,February,2021.0,2021,,235.809621,X,base year is 2015
45,NGA,2000-03-01,2000-03-31,159.0,Nigeria,23013,"Consumer Prices, Food Indices (2015 = 100)",7003.0,March,2000.0,2000,,18.101543,F,base year is 2015
46,NGA,2001-03-01,2001-03-31,159.0,Nigeria,23013,"Consumer Prices, Food Indices (2015 = 100)",7003.0,March,2001.0,2001,,19.718188,F,base year is 2015
47,NGA,2002-03-01,2002-03-31,159.0,Nigeria,23013,"Consumer Prices, Food Indices (2015 = 100)",7003.0,March,2002.0,2002,,24.365220,F,base year is 2015
48,NGA,2003-03-01,2003-03-31,159.0,Nigeria,23013,"Consumer Prices, Food Indices (2015 = 100)",7003.0,March,2003.0,2003,,27.102074,F,base year is 2015
49,NGA,2004-03-01,2004-03-31,159.0,Nigeria,23013,"Consumer Prices, Food Indices (2015 = 100)",7003.0,March,2004.0,2004,,29.353864,F,base year is 2015
50,NGA,2005-03-01,2005-03-31,159.0,Nigeria,23013,"Consumer Prices, Food Indices (2015 = 100)",7003.0,March,2005.0,2005,,35.293302,X,base year is 2015
51,NGA,2006-03-01,2006-03-31,159.0,Nigeria,23013,"Consumer Prices, Food Indices (2015 = 100)",7003.0,March,2006.0,2006,,38.588320,X,base year is 2015
52,NGA,2007-03-01,2007-03-31,159.0,Nigeria,23013,"Consumer Prices, Food Indices (2015 = 100)",7003.0,March,2007.0,2007,,39.286751,X,base year is 2015
53,NGA,2008-03-01,2008-03-31,159.0,Nigeria,23013,"Consumer Prices, Food Indices (2015 = 100)",7003.0,March,2008.0,2008,,44.187034,X,base year is 2015
54,NGA,2009-03-01,2009-03-31,159.0,Nigeria,23013,"Consumer Prices, Food Indices (2015 = 100)",7003.0,March,2009.0,2009,,51.255833,X,base year is 2015
55,NGA,2010-03-01,2010-03-31,159.0,Nigeria,23013,"Consumer Prices, Food Indices (2015 = 100)",7003.0,March,2010.0,2010,,59.310321,X,base year is 2015
56,NGA,2011-03-01,2011-03-31,159.0,Nigeria,23013,"Consumer Prices, Food Indices (2015 = 100)",7003.0,March,2011.0,2011,,66.576258,X,base year is 2015
57,NGA,2012-03-01,2012-03-31,159.0,Nigeria,23013,"Consumer Prices, Food Indices (2015 = 100)",7003.0,March,2012.0,2012,,74.292795,X,base year is 2015
58,NGA,2013-03-01,2013-03-31,159.0,Nigeria,23013,"Consumer Prices, Food Indices (2015 = 100)",7003.0,March,2013.0,2013,,81.277107,X,base year is 2015
59,NGA,2014-03-01,2014-03-31,159.0,Nigeria,23013,"Consumer Prices, Food Indices (2015 = 100)",7003.0,March,2014.0,2014,,88.796506,X,base year is 2015
60,NGA,2015-03-01,2015-03-31,159.0,Nigeria,23013,"Consumer Prices, Food Indices (2015 = 100)",7003.0,March,2015.0,2015,,97.093192,X,base year is 2015
61,NGA,2016-03-01,2016-03-31,159.0,Nigeria,23013,"Consumer Prices, Food Indices (2015 = 100)",7003.0,March,2016.0,2016,,109.383327,X,base year is 2015
62,NGA,2017-03-01,2017-03-31,159.0,Nigeria,23013,"Consumer Prices, Food Indices (2015 = 100)",7003.0,March,2017.0,2017,,129.404217,X,base year is 2015
63,NGA,2018-03-01,2018-03-31,159.0,Nigeria,23013,"Consumer Prices, Food Indices (2015 = 100)",7003.0,March,2018.0,2018,,150.189542,X,base year is 2015
64,NGA,2019-03-01,2019-03-31,159.0,Nigeria,23013,"Consumer Prices, Food Indices (2015 = 100)",7003.0,March,2019.0,2019,,170.317395,X,base year is 2015
65,NGA,2020-03-01,2020-03-31,159.0,Nigeria,23013,"Consumer Prices, Food Indices (2015 = 100)",7003.0,March,2020.0,2020,,195.683139,X,base year is 2015
66,NGA,2021-03-01,2021-03-31,159.0,Nigeria,23013,"Consumer Prices, Food Indices (2015 = 100)",7003.0,March,2021.0,2021,,240.274068,X,base year is 2015
67,NGA,2000-04-01,2000-04-30,159.0,Nigeria,23013,"Consumer Prices, Food Indices (2015 = 100)",7004.0,April,2000.0,2000,,18.137752,F,base year is 2015
68,NGA,2001-04-01,2001-04-30,159.0,Nigeria,23013,"Consumer Prices, Food Indices (2015 = 100)",7004.0,April,2001.0,2001,,20.148441,F,base year is 2015
69,NGA,2002-04-01,2002-04-30,159.0,Nigeria,23013,"Consumer Prices, Food Indices (2015 = 100)",7004.0,April,2002.0,2002,,24.623471,F,base year is 2015
70,NGA,2003-04-01,2003-04-30,159.0,Nigeria,23013,"Consumer Prices, Food Indices (2015 = 100)",7004.0,April,2003.0,2003,,27.239605,F,base year is 2015
71,NGA,2004-04-01,2004-04-30,159.0,Nigeria,23013,"Consumer Prices, Food Indices (2015 = 100)",7004.0,April,2004.0,2004,,29.691868,F,base year is 2015
72,NGA,2005-04-01,2005-04-30,159.0,Nigeria,23013,"Consumer Prices, Food Indices (2015 = 100)",7004.0,April,2005.0,2005,,35.372157,X,base year is 2015
73,NGA,2006-04-01,2006-04-30,159.0,Nigeria,23013,"Consumer Prices, Food Indices (2015 = 100)",7004.0,April,2006.0,2006,,38.740398,X,base year is 2015
74,NGA,2007-04-01,2007-04-30,159.0,Nigeria,23013,"Consumer Prices, Food Indices (2015 = 100)",7004.0,April,2007.0,2007,,39.681027,X,base year is 2015
75,NGA,2008-04-01,2008-04-30,159.0,Nigeria,23013,"Consumer Prices, Food Indices (2015 = 100)",7004.0,April,2008.0,2008,,44.868568,X,base year is 2015
76,NGA,2009-04-01,2009-04-30,159.0,Nigeria,23013,"Consumer Prices, Food Indices (2015 = 100)",7004.0,April,2009.0,2009,,51.650109,X,base year is 2015
77,NGA,2010-04-01,2010-04-30,159.0,Nigeria,23013,"Consumer Prices, Food Indices (2015 = 100)",7004.0,April,2010.0,2010,,60.098872,X,base year is 2015
78,NGA,2011-04-01,2011-04-30,159.0,Nigeria,23013,"Consumer Prices, Food Indices (2015 = 100)",7004.0,April,2011.0,2011,,66.463608,X,base year is 2015
79,NGA,2012-04-01,2012-04-30,159.0,Nigeria,23013,"Consumer Prices, Food Indices (2015 = 100)",7004.0,April,2012.0,2012,,74.405446,X,base year is 2015
80,NGA,2013-04-01,2013-04-30,159.0,Nigeria,23013,"Consumer Prices, Food Indices (2015 = 100)",7004.0,April,2013.0,2013,,81.840358,X,base year is 2015
81,NGA,2014-04-01,2014-04-30,159.0,Nigeria,23013,"Consumer Prices, Food Indices (2015 = 100)",7004.0,April,2014.0,2014,,89.494938,X,base year is 2015
82,NGA,2015-04-01,2015-04-30,159.0,Nigeria,23013,"Consumer Prices, Food Indices (2015 = 100)",7004.0,April,2015.0,2015,,97.949334,X,base year is 2015
83,NGA,2016-04-01,2016-04-30,159.0,Nigeria,23013,"Consumer Prices, Food Indices (2015 = 100)",7004.0,April,2016.0,2016,,110.791455,X,base year is 2015
84,NGA,2017-04-01,2017-04-30,159.0,Nigeria,23013,"Consumer Prices, Food Indices (2015 = 100)",7004.0,April,2017.0,2017,,132.038865,X,base year is 2015
85,NGA,2018-04-01,2018-04-30,159.0,Nigeria,23013,"Consumer Prices, Food Indices (2015 = 100)",7004.0,April,2018.0,2018,,151.559359,X,base year is 2015
86,NGA,2019-04-01,2019-04-30,159.0,Nigeria,23013,"Consumer Prices, Food Indices (2015 = 100)",7004.0,April,2019.0,2019,,172.241729,X,base year is 2015
87,NGA,2020-04-01,2020-04-30,159.0,Nigeria,23013,"Consumer Prices, Food Indices (2015 = 100)",7004.0,April,2020.0,2020,,197.982088,X,base year is 2015
88,NGA,2021-04-01,2021-04-30,159.0,Nigeria,23013,"Consumer Prices, Food Indices (2015 = 100)",7004.0,April,2021.0,2021,,242.692310,X,base year is 2015
89,NGA,2000-05-01,2000-05-31,159.0,Nigeria,23013,"Consumer Prices, Food Indices (2015 = 100)",7005.0,May,2000.0,2000,,18.173962,F,base year is 2015
90,NGA,2001-05-01,2001-05-31,159.0,Nigeria,23013,"Consumer Prices, Food Indices (2015 = 100)",7005.0,May,2001.0,2001,,20.578694,F,base year is 2015
91,NGA,2002-05-01,2002-05-31,159.0,Nigeria,23013,"Consumer Prices, Food Indices (2015 = 100)",7005.0,May,2002.0,2002,,24.881723,F,base year is 2015
92,NGA,2003-05-01,2003-05-31,159.0,Nigeria,23013,"Consumer Prices, Food Indices (2015 = 100)",7005.0,May,2003.0,2003,,27.377135,F,base year is 2015
93,NGA,2004-05-01,2004-05-31,159.0,Nigeria,23013,"Consumer Prices, Food Indices (2015 = 100)",7005.0,May,2004.0,2004,,30.029873,F,base year is 2015
94,NGA,2005-05-01,2005-05-31,159.0,Nigeria,23013,"Consumer Prices, Food Indices (2015 = 100)",7005.0,May,2005.0,2005,,35.710108,X,base year is 2015
95,NGA,2006-05-01,2006-05-31,159.0,Nigeria,23013,"Consumer Prices, Food Indices (2015 = 100)",7005.0,May,2006.0,2006,,38.807988,X,base year is 2015
96,NGA,2007-05-01,2007-05-31,159.0,Nigeria,23013,"Consumer Prices, Food Indices (2015 = 100)",7005.0,May,2007.0,2007,,39.793677,X,base year is 2015
97,NGA,2008-05-01,2008-05-31,159.0,Nigeria,23013,"Consumer Prices, Food Indices (2015 = 100)",7005.0,May,2008.0,2008,,45.606426,X,base year is 2015
98,NGA,2009-05-01,2009-05-31,159.0,Nigeria,23013,"Consumer Prices, Food Indices (2015 = 100)",7005.0,May,2009.0,2009,,52.663960,X,base year is 2015
99,NGA,2010-05-01,2010-05-31,159.0,Nigeria,23013,"Consumer Prices, Food Indices (2015 = 100)",7005.0,May,2010.0,2010,,59.817247,X,base year is 2015
100,NGA,2011-05-01,2011-05-31,159.0,Nigeria,23013,"Consumer Prices, Food Indices (2015 = 100)",7005.0,May,2011.0,2011,,66.745233,X,base year is 2015
101,NGA,2012-05-01,2012-05-31,159.0,Nigeria,23013,"Consumer Prices, Food Indices (2015 = 100)",7005.0,May,2012.0,2012,,75.306647,X,base year is 2015
102,NGA,2013-05-01,2013-05-31,159.0,Nigeria,23013,"Consumer Prices, Food Indices (2015 = 100)",7005.0,May,2013.0,2013,,82.290958,X,base year is 2015
103,NGA,2014-05-01,2014-05-31,159.0,Nigeria,23013,"Consumer Prices, Food Indices (2015 = 100)",7005.0,May,2014.0,2014,,90.215899,X,base year is 2015
104,NGA,2015-05-01,2015-05-31,159.0,Nigeria,23013,"Consumer Prices, Food Indices (2015 = 100)",7005.0,May,2015.0,2015,,99.013878,X,base year is 2015
105,NGA,2016-05-01,2016-05-31,159.0,Nigeria,23013,"Consumer Prices, Food Indices (2015 = 100)",7005.0,May,2016.0,2016,,113.618338,X,base year is 2015
106,NGA,2017-05-01,2017-05-31,159.0,Nigeria,23013,"Consumer Prices, Food Indices (2015 = 100)",7005.0,May,2017.0,2017,,135.370930,X,base year is 2015
107,NGA,2018-05-01,2018-05-31,159.0,Nigeria,23013,"Consumer Prices, Food Indices (2015 = 100)",7005.0,May,2018.0,2018,,153.562391,X,base year is 2015
108,NGA,2019-05-01,2019-05-31,159.0,Nigeria,23013,"Consumer Prices, Food Indices (2015 = 100)",7005.0,May,2019.0,2019,,174.654149,X,base year is 2015
109,NGA,2020-05-01,2020-05-31,159.0,Nigeria,23013,"Consumer Prices, Food Indices (2015 = 100)",7005.0,May,2020.0,2020,,200.776111,X,base year is 2015
110,NGA,2021-05-01,2021-05-31,159.0,Nigeria,23013,"Consumer Prices, Food Indices (2015 = 100)",7005.0,May,2021.0,2021,,245.234565,X,base year is 2015
111,NGA,2000-06-01,2000-06-30,159.0,Nigeria,23013,"Consumer Prices, Food Indices (2015 = 100)",7006.0,June,2000.0,2000,,18.210171,F,base year is 2015
112,NGA,2001-06-01,2001-06-30,159.0,Nigeria,23013,"Consumer Prices, Food Indices (2015 = 100)",7006.0,June,2001.0,2001,,21.008947,F,base year is 2015
113,NGA,2002-06-01,2002-06-30,159.0,Nigeria,23013,"Consumer Prices, Food Indices (2015 = 100)",7006.0,June,2002.0,2002,,25.139974,F,base year is 2015
114,NGA,2003-06-01,2003-06-30,159.0,Nigeria,23013,"Consumer Prices, Food Indices (2015 = 100)",7006.0,June,2003.0,2003,,27.514666,F,base year is 2015
115,NGA,2004-06-01,2004-06-30,159.0,Nigeria,23013,"Consumer Prices, Food Indices (2015 = 100)",7006.0,June,2004.0,2004,,30.367877,F,base year is 2015
116,NGA,2005-06-01,2005-06-30,159.0,Nigeria,23013,"Consumer Prices, Food Indices (2015 = 100)",7006.0,June,2005.0,2005,,36.791550,X,base year is 2015
117,NGA,2006-06-01,2006-06-30,159.0,Nigeria,23013,"Consumer Prices, Food Indices (2015 = 100)",7006.0,June,2006.0,2006,,39.067083,X,base year is 2015
118,NGA,2007-06-01,2007-06-30,159.0,Nigeria,23013,"Consumer Prices, Food Indices (2015 = 100)",7006.0,June,2007.0,2007,,40.418886,X,base year is 2015
119,NGA,2008-06-01,2008-06-30,159.0,Nigeria,23013,"Consumer Prices, Food Indices (2015 = 100)",7006.0,June,2008.0,2008,,47.662292,X,base year is 2015
120,NGA,2009-06-01,2009-06-30,159.0,Nigeria,23013,"Consumer Prices, Food Indices (2015 = 100)",7006.0,June,2009.0,2009,,53.846787,X,base year is 2015
121,NGA,2010-06-01,2010-06-30,159.0,Nigeria,23013,"Consumer Prices, Food Indices (2015 = 100)",7006.0,June,2010.0,2010,,62.070251,X,base year is 2015
122,NGA,2011-06-01,2011-06-30,159.0,Nigeria,23013,"Consumer Prices, Food Indices (2015 = 100)",7006.0,June,2011.0,2011,,67.308484,X,base year is 2015
123,NGA,2012-06-01,2012-06-30,159.0,Nigeria,23013,"Consumer Prices, Food Indices (2015 = 100)",7006.0,June,2012.0,2012,,75.644598,X,base year is 2015
124,NGA,2013-06-01,2013-06-30,159.0,Nigeria,23013,"Consumer Prices, Food Indices (2015 = 100)",7006.0,June,2013.0,2013,,82.854209,X,base year is 2015
125,NGA,2014-06-01,2014-06-30,159.0,Nigeria,23013,"Consumer Prices, Food Indices (2015 = 100)",7006.0,June,2014.0,2014,,90.953757,X,base year is 2015
126,NGA,2015-06-01,2015-06-30,159.0,Nigeria,23013,"Consumer Prices, Food Indices (2015 = 100)",7006.0,June,2015.0,2015,,100.050260,X,base year is 2015
127,NGA,2016-06-01,2016-06-30,159.0,Nigeria,23013,"Consumer Prices, Food Indices (2015 = 100)",7006.0,June,2016.0,2016,,115.241137,X,base year is 2015
